Vftable,Methods,Flags,Type,Hierarchy
40CFDA20,8,,"ComBase<IDropTarget,_GUID const IID_IDropTarget>","ComBase<IDropTarget,_GUID const IID_IDropTarget>: struct IDropTarget, struct IUnknown;"
40CFDA44,8,,DropTarget,"DropTarget: ComBase<IDropTarget,_GUID const IID_IDropTarget>, struct IDropTarget, struct IUnknown;"
40CFE708,2,,Client::System::Debug::StackTrace::TraceCallbackInterface,Client::System::Debug::StackTrace::TraceCallbackInterface: 
40CFE760,4,,Client::System::Configuration::SystemConfig,"Client::System::Configuration::SystemConfig: Common::Configuration::SystemConfig, Common::Configuration::ConfigBase, Client::System::Common::NonCopyable;"
40CFE774,4,,Client::System::Configuration::DevConfig,"Client::System::Configuration::DevConfig: Common::Configuration::DevConfig, Common::Configuration::ConfigBase, Client::System::Common::NonCopyable;"
40CFEB1C,2,,`long __stdcall FFXIVException(_EXCEPTION_POINTERS *)'::`2'::Callback,`long __stdcall FFXIVException(_EXCEPTION_POINTERS *)'::`2'::Callback: Client::System::Debug::StackTrace::TraceCallbackInterface;
40D00E14,14,,Client::System::Memory::IMemoryModule,Client::System::Memory::IMemoryModule: 
40D00E50,8,,Client::System::Memory::IManagedModule,Client::System::Memory::IManagedModule: 
40D00E74,11,,Client::System::Memory::IManagedSpace,Client::System::Memory::IManagedSpace: 
40D00EA4,1,,Client::System::Memory::Managed::ManagedBlock,Client::System::Memory::Managed::ManagedBlock: struct Client::System::Memory::Managed::ManagedBlockData;
40D00EAC,6,,Client::System::Memory::IMemoryHandle,Client::System::Memory::IMemoryHandle: 
40D00ECC,16,,Client::System::Memory::IMemorySpace,Client::System::Memory::IMemorySpace: 
40D00F10,14,,Client::System::Memory::Regular::SystemAllocator,Client::System::Memory::Regular::SystemAllocator: Client::System::Memory::IMemoryModule;
40D00F4C,8,,Client::System::Memory::Managed::SystemManagedAllocator,Client::System::Memory::Managed::SystemManagedAllocator: Client::System::Memory::IManagedModule;
40D00F70,8,,Client::System::Memory::Managed::SeparateManagedAllocator,Client::System::Memory::Managed::SeparateManagedAllocator: Client::System::Memory::IManagedModule;
40D00F94,11,,Client::System::Memory::Managed::ManagedSpace,Client::System::Memory::Managed::ManagedSpace: Client::System::Memory::IManagedSpace;
40D00FC4,1,M,Client::System::Memory::Managed::MemoryHandle,Client::System::Memory::Managed::ManagedBlock: struct Client::System::Memory::Managed::ManagedBlockData;
40D00FCC,6,M,Client::System::Memory::Managed::MemoryHandle,"Client::System::Memory::Managed::MemoryHandle: Client::System::Memory::IMemoryHandle, Client::System::Memory::Managed::ManagedBlock, struct Client::System::Memory::Managed::ManagedBlockData;"
